Incident Date,State,City Or County,# Killed,# Injured,Code
2020-05-23,Mississippi,Jackson,1,4,MS
2020-05-23,North Carolina,Charlotte,0,6,NC
2020-05-23,Illinois,Chicago,1,3,IL
2020-05-23,Florida,Daytona Beach,0,6,FL
2020-05-24,South Carolina,Myrtle Beach,0,4,SC
2020-05-24,Alabama,Danville,3,1,AL
2020-05-24,Missouri,Saint Louis,0,4,MO
2020-05-25,Louisiana,Lake Charles,0,6,LA
2020-05-26,Mississippi,Vicksburg,0,4,MS
2020-05-26,California,Los Angeles,0,5,CA
2020-05-26,South Carolina,Bowman,3,5,SC
2020-05-26,Illinois,Chicago,2,2,IL
2020-05-26,Pennsylvania,Philadelphia,0,4,PA
2020-05-27,Pennsylvania,Philadelphia,0,4,PA
2020-05-27,California,San Jose,0,5,CA
2020-05-27,Ohio,Cleveland,1,3,OH
2020-05-27,Massachusetts,Boston,1,4,MA
2020-05-28,Pennsylvania,Philadelphia,1,3,PA
2020-05-28,Tennessee,Memphis,0,4,TN
2020-05-28,Kentucky,Louisville,0,7,KY
2020-05-29,Virginia,Portsmouth,0,5,VA
2020-05-30,Texas,Houston,1,4,TX
2020-05-30,Florida,Altha,2,4,FL
2020-05-30,North Carolina,Gastonia,1,5,NC
2020-05-30,District of Columbia,Washington,0,4,DC
2020-05-30,New Jersey,Paterson,0,4,NJ
2020-05-31,Pennsylvania,Philadelphia,0,4,PA
2020-05-31,Mississippi,Gulfport,1,5,MS
2020-06-01,Missouri,Saint Louis,0,4,MO
2020-06-02,Illinois,Chicago,0,4,IL
2020-06-02,Wisconsin,Racine,0,5,WI
2020-06-02,Texas,Dallas,1,3,TX
2020-06-04,Alabama,Valhermoso Springs,7,0,AL
2020-06-05,Colorado,Denver,0,4,CO
2020-06-06,Missouri,Kansas City,1,4,MO
2020-06-06,California,Sacramento,1,4,CA
2020-06-06,Mississippi,Drew,0,5,MS
2020-06-06,Ohio,Ironton,0,4,OH
2020-06-07,Illinois,Chicago,0,6,IL
2020-06-07,Illinois,Chicago,1,3,IL
2020-06-07,Tennessee,Dyersburg,0,5,TN
2020-06-07,Missouri,Sikeston,2,7,MO
2020-06-07,Illinois,Robbins,1,3,IL
2020-06-07,Arkansas,Hope,0,5,AR
2020-06-08,New York,Brooklyn,0,4,NY
2020-06-08,Tennessee,Memphis,0,4,TN
2020-06-09,Pennsylvania,Philadelphia,1,6,PA
2020-06-09,North Carolina,Scotland Neck,0,5,NC
2020-06-09,California,Vallejo,2,3,CA
2020-06-10,California,Paso Robles,2,4,CA
2020-06-10,Ohio,Toledo,1,3,OH
2020-06-10,California,Sacramento,1,4,CA
2020-06-11,Texas,Houston,2,4,TX
2020-06-11,Louisiana,Monroe,6,0,LA
2020-06-11,District of Columbia,Washington,0,7,DC
2020-06-11,Virginia,Richmond,0,4,VA
2020-06-12,New York,Bronx,1,3,NY
2020-06-12,Texas,San Antonio,0,8,TX
2020-06-12,Pennsylvania,Philadelphia,0,6,PA
2020-06-13,Georgia,Atlanta,2,5,GA
2020-06-13,District of Columbia,Washington,2,5,DC
2020-06-13,Maryland,Baltimore,0,5,MD
2020-06-13,New York,Wyandanch,1,7,NY
2020-06-13,Missouri,Saint Louis,2,4,MO
2020-06-13,California,Hesperia,0,5,CA
2020-06-13,Arkansas,Rison,0,4,AR
2020-06-14,Kentucky,Louisville,1,4,KY
2020-06-14,Minnesota,Minneapolis,1,6,MN
2020-06-14,Louisiana,Lake Charles,0,4,LA
2020-06-14,Louisiana,Lafayette,0,5,LA
2020-06-14,Louisiana,New Orleans,2,2,LA
2020-06-15,Illinois,Chicago,0,4,IL
2020-06-15,Illinois,Decatur,0,4,IL
2020-06-16,Iowa,Fort Dodge,2,2,IA
2020-06-17,Illinois,Chicago,0,4,IL
2020-06-18,New York,Albany,0,7,NY
2020-06-20,New York,Bronx,0,4,NY
2020-06-20,New York,Syracuse,1,8,NY
2020-06-20,Michigan,Detroit,0,4,MI
2020-06-20,Michigan,Saginaw,1,3,MI
2020-06-20,North Carolina,Pinetops,2,2,NC
2020-06-20,Wisconsin,Janesville,0,5,WI
2020-06-20,New York,Bronx,0,4,NY
2020-06-20,New Jersey,Jersey City,1,4,NJ
